file;changed_keys;got_keys;
archive-1;3.000000;0.000000;
archive-81;3.000000;1.000000;
archive-37;3.000000;3.000000;
archive-32;3.000000;3.000000;
archive-38;3.000000;3.000000;
archive-36;3.000000;3.000000;
archive-4;3.000000;3.000000;
archive-61;3.000000;3.000000;
archive-94;3.000000;3.000000;
archive-49;3.000000;3.000000;
archive-7;3.000000;3.000000;
archive-12;3.000000;3.000000;
archive-34;3.000000;3.000000;
archive-89;3.000000;1.000000;
archive-9;3.000000;3.000000;
archive-64;3.000000;1.000000;
archive-86;3.000000;3.000000;
archive-10;3.000000;3.000000;
archive-93;3.000000;3.000000;
archive-60;3.000000;3.000000;
archive-46;3.000000;3.000000;
archive-18;3.000000;3.000000;
archive-67;3.000000;0.000000;
archive-59;3.000000;3.000000;
archive-90;3.000000;3.000000;
archive-5;3.000000;3.000000;
archive-96;3.000000;3.000000;
archive-88;3.000000;1.000000;
archive-43;3.000000;3.000000;
archive-70;3.000000;3.000000;
archive-27;3.000000;3.000000;
archive-54;3.000000;3.000000;
archive-21;3.000000;3.000000;
archive-25;3.000000;3.000000;
archive-63;3.000000;1.000000;
archive-17;3.000000;3.000000;
archive-33;3.000000;3.000000;
archive-13;3.000000;0.000000;
archive-68;3.000000;3.000000;
archive-26;3.000000;2.000000;
archive-85;3.000000;3.000000;
archive-28;3.000000;3.000000;
archive-11;3.000000;2.000000;
archive-24;3.000000;0.000000;
archive-35;3.000000;3.000000;
archive-91;3.000000;3.000000;
archive-47;3.000000;3.000000;
archive-19;3.000000;3.000000;
archive-16;3.000000;3.000000;
archive-77;3.000000;3.000000;
archive-42;3.000000;3.000000;
archive-2;3.000000;3.000000;
archive-0;3.000000;3.000000;
archive-92;3.000000;3.000000;
archive-8;3.000000;3.000000;
archive-62;3.000000;1.000000;
archive-95;3.000000;3.000000;
archive-73;3.000000;3.000000;
archive-52;3.000000;3.000000;
archive-71;3.000000;3.000000;
archive-56;3.000000;3.000000;
archive-75;3.000000;0.000000;
archive-50;3.000000;3.000000;
archive-76;3.000000;2.000000;
archive-23;3.000000;3.000000;
archive-57;3.000000;3.000000;
archive-45;3.000000;1.000000;
archive-55;3.000000;3.000000;
archive-83;3.000000;3.000000;
archive-30;3.000000;3.000000;
archive-44;3.000000;3.000000;
archive-74;3.000000;3.000000;
archive-15;3.000000;3.000000;
archive-39;3.000000;3.000000;
archive-40;3.000000;3.000000;
archive-80;3.000000;3.000000;
archive-98;3.000000;3.000000;
archive-41;3.000000;3.000000;
archive-82;3.000000;3.000000;
archive-65;3.000000;3.000000;
archive-69;3.000000;2.000000;
archive-79;3.000000;3.000000;
archive-84;3.000000;2.000000;
archive-58;3.000000;3.000000;
archive-72;3.000000;3.000000;
archive-3;3.000000;0.000000;
archive-22;3.000000;3.000000;
archive-78;3.000000;3.000000;
archive-53;3.000000;3.000000;
archive-99;3.000000;3.000000;
archive-6;3.000000;2.000000;
archive-20;3.000000;3.000000;
archive-87;3.000000;3.000000;
archive-31;3.000000;2.000000;
archive-14;3.000000;3.000000;
archive-29;3.000000;2.000000;
archive-48;3.000000;3.000000;
archive-51;3.000000;0.000000;
archive-97;3.000000;3.000000;
archive-66;3.000000;3.000000;
#Rate: 0.856667
