file;changed_keys;got_keys;
archive-1;1.000000;1.000000;
archive-81;1.000000;1.000000;
archive-37;1.000000;1.000000;
archive-32;1.000000;1.000000;
archive-38;1.000000;1.000000;
archive-36;1.000000;1.000000;
archive-4;1.000000;1.000000;
archive-61;1.000000;1.000000;
archive-94;1.000000;1.000000;
archive-49;1.000000;1.000000;
archive-7;1.000000;1.000000;
archive-12;1.000000;1.000000;
archive-34;1.000000;1.000000;
archive-89;1.000000;1.000000;
archive-9;1.000000;1.000000;
archive-64;1.000000;1.000000;
archive-86;1.000000;1.000000;
archive-10;1.000000;1.000000;
archive-93;1.000000;1.000000;
archive-60;1.000000;1.000000;
archive-46;1.000000;1.000000;
archive-18;1.000000;1.000000;
archive-67;1.000000;1.000000;
archive-59;1.000000;1.000000;
archive-90;1.000000;1.000000;
archive-5;1.000000;1.000000;
archive-96;1.000000;1.000000;
archive-88;1.000000;1.000000;
archive-43;1.000000;1.000000;
archive-70;1.000000;1.000000;
archive-27;1.000000;1.000000;
archive-54;1.000000;1.000000;
archive-21;1.000000;1.000000;
archive-25;1.000000;1.000000;
archive-63;1.000000;1.000000;
archive-17;1.000000;1.000000;
archive-33;1.000000;1.000000;
archive-13;1.000000;1.000000;
archive-68;1.000000;1.000000;
archive-26;1.000000;1.000000;
archive-85;1.000000;1.000000;
archive-28;1.000000;1.000000;
archive-11;1.000000;1.000000;
archive-24;1.000000;1.000000;
archive-35;1.000000;1.000000;
archive-91;1.000000;1.000000;
archive-47;1.000000;1.000000;
archive-19;1.000000;1.000000;
archive-16;1.000000;1.000000;
archive-77;1.000000;1.000000;
archive-42;1.000000;1.000000;
archive-2;1.000000;1.000000;
archive-0;1.000000;1.000000;
archive-92;1.000000;1.000000;
archive-8;1.000000;1.000000;
archive-62;1.000000;1.000000;
archive-95;1.000000;1.000000;
archive-73;1.000000;1.000000;
archive-52;1.000000;1.000000;
archive-71;1.000000;1.000000;
archive-56;1.000000;1.000000;
archive-75;1.000000;1.000000;
archive-50;1.000000;1.000000;
archive-76;1.000000;1.000000;
archive-23;1.000000;1.000000;
archive-57;1.000000;1.000000;
archive-45;1.000000;1.000000;
archive-55;1.000000;1.000000;
archive-83;1.000000;1.000000;
archive-30;1.000000;1.000000;
archive-44;1.000000;1.000000;
archive-74;1.000000;1.000000;
archive-15;1.000000;1.000000;
archive-39;1.000000;1.000000;
archive-40;1.000000;1.000000;
archive-80;1.000000;1.000000;
archive-98;1.000000;1.000000;
archive-41;1.000000;1.000000;
archive-82;1.000000;1.000000;
archive-65;1.000000;1.000000;
archive-69;1.000000;1.000000;
archive-79;1.000000;1.000000;
archive-84;1.000000;1.000000;
archive-58;1.000000;1.000000;
archive-72;1.000000;1.000000;
archive-3;1.000000;1.000000;
archive-22;1.000000;1.000000;
archive-78;1.000000;1.000000;
archive-53;1.000000;1.000000;
archive-99;1.000000;1.000000;
archive-6;1.000000;1.000000;
archive-20;1.000000;1.000000;
archive-87;1.000000;1.000000;
archive-31;1.000000;1.000000;
archive-14;1.000000;1.000000;
archive-29;1.000000;1.000000;
archive-48;1.000000;1.000000;
archive-51;1.000000;1.000000;
archive-97;1.000000;1.000000;
archive-66;1.000000;1.000000;
#Rate: 1.000000
