file;changed_keys;got_keys;
archive-1;2.000000;0.000000;
archive-81;2.000000;2.000000;
archive-37;2.000000;1.000000;
archive-32;2.000000;0.000000;
archive-38;2.000000;0.000000;
archive-36;2.000000;2.000000;
archive-4;2.000000;2.000000;
archive-61;2.000000;2.000000;
archive-94;2.000000;2.000000;
archive-49;2.000000;2.000000;
archive-7;2.000000;2.000000;
archive-12;2.000000;2.000000;
archive-34;2.000000;2.000000;
archive-89;2.000000;2.000000;
archive-9;2.000000;2.000000;
archive-64;2.000000;2.000000;
archive-86;2.000000;2.000000;
archive-10;2.000000;2.000000;
archive-93;2.000000;2.000000;
archive-60;2.000000;2.000000;
archive-46;2.000000;2.000000;
archive-18;2.000000;2.000000;
archive-67;2.000000;2.000000;
archive-59;2.000000;1.000000;
archive-90;2.000000;2.000000;
archive-5;2.000000;2.000000;
archive-96;2.000000;2.000000;
archive-88;2.000000;0.000000;
archive-43;2.000000;2.000000;
archive-70;2.000000;2.000000;
archive-27;2.000000;2.000000;
archive-54;2.000000;2.000000;
archive-21;2.000000;0.000000;
archive-25;2.000000;2.000000;
archive-63;2.000000;2.000000;
archive-17;2.000000;2.000000;
archive-33;2.000000;2.000000;
archive-13;2.000000;2.000000;
archive-68;2.000000;0.000000;
archive-26;2.000000;2.000000;
archive-85;2.000000;2.000000;
archive-28;2.000000;2.000000;
archive-11;2.000000;2.000000;
archive-24;2.000000;1.000000;
archive-35;2.000000;2.000000;
archive-91;2.000000;2.000000;
archive-47;2.000000;2.000000;
archive-19;2.000000;2.000000;
archive-16;2.000000;0.000000;
archive-77;2.000000;2.000000;
archive-42;2.000000;2.000000;
archive-2;2.000000;2.000000;
archive-0;2.000000;2.000000;
archive-92;2.000000;2.000000;
archive-8;2.000000;2.000000;
archive-62;2.000000;2.000000;
archive-95;2.000000;0.000000;
archive-73;2.000000;2.000000;
archive-52;2.000000;2.000000;
archive-71;2.000000;2.000000;
archive-56;2.000000;2.000000;
archive-75;2.000000;2.000000;
archive-50;2.000000;2.000000;
archive-76;2.000000;2.000000;
archive-23;2.000000;2.000000;
archive-57;2.000000;2.000000;
archive-45;2.000000;2.000000;
archive-55;2.000000;2.000000;
archive-83;2.000000;0.000000;
archive-30;2.000000;2.000000;
archive-44;2.000000;2.000000;
archive-74;2.000000;0.000000;
archive-15;2.000000;2.000000;
archive-39;2.000000;1.000000;
archive-40;2.000000;2.000000;
archive-80;2.000000;2.000000;
archive-98;2.000000;2.000000;
archive-41;2.000000;2.000000;
archive-82;2.000000;2.000000;
archive-65;2.000000;2.000000;
archive-69;2.000000;0.000000;
archive-79;2.000000;2.000000;
archive-84;2.000000;2.000000;
archive-58;2.000000;2.000000;
archive-72;2.000000;2.000000;
archive-3;2.000000;1.000000;
archive-22;2.000000;2.000000;
archive-78;2.000000;0.000000;
archive-53;2.000000;2.000000;
archive-99;2.000000;2.000000;
archive-6;2.000000;2.000000;
archive-20;2.000000;2.000000;
archive-87;2.000000;2.000000;
archive-31;2.000000;2.000000;
archive-14;2.000000;2.000000;
archive-29;2.000000;0.000000;
archive-48;2.000000;2.000000;
archive-51;2.000000;2.000000;
archive-97;2.000000;2.000000;
archive-66;2.000000;1.000000;
#Rate: 0.840000
