file;changed_keys;got_keys;
archive-1;1.000000;1.000000;
archive-32;1.000000;1.000000;
archive-4;1.000000;1.000000;
archive-7;1.000000;1.000000;
archive-12;1.000000;1.000000;
archive-9;1.000000;1.000000;
archive-10;1.000000;1.000000;
archive-18;1.000000;1.000000;
archive-5;1.000000;1.000000;
archive-27;1.000000;1.000000;
archive-21;1.000000;1.000000;
archive-25;1.000000;1.000000;
archive-17;1.000000;1.000000;
archive-33;1.000000;1.000000;
archive-13;1.000000;1.000000;
archive-26;1.000000;1.000000;
archive-28;1.000000;1.000000;
archive-11;1.000000;1.000000;
archive-24;1.000000;1.000000;
archive-19;1.000000;1.000000;
archive-16;1.000000;1.000000;
archive-2;1.000000;1.000000;
archive-0;1.000000;1.000000;
archive-8;1.000000;1.000000;
archive-23;1.000000;1.000000;
archive-30;1.000000;1.000000;
archive-15;1.000000;1.000000;
archive-3;1.000000;1.000000;
archive-22;1.000000;1.000000;
archive-6;1.000000;1.000000;
archive-20;1.000000;1.000000;
archive-31;1.000000;1.000000;
archive-14;1.000000;1.000000;
archive-29;1.000000;1.000000;
#Rate: 1.000000
