file;complex_int1;complex_int2;complex_int3;complex_log1;complex_log2;complex_log3;nonces1;nonces2;nonces3;
archive-0;18388870640;1044972001280;274023816;34.0981138276;39.9266014263;28.0297260455;3024;10192;2800;
archive-10;1923018880000;3360568386;84861308;40.8065100656;31.6460581163;26.3386035798;10192;3136;3024;
archive-11;87332178;1414086792;6157467408;26.3800099846;30.3972235247;32.5196899404;3360;2352;4480;
archive-12;669977726976;9348885905408;2427651140;39.2853221786;43.0879315898;31.1769139713;10192;10192;3360;
archive-13;1830578780;13558229368;5104393468;30.7696527162;33.6584497314;32.2490923963;3024;3024;3808;
archive-14;24453359728;8057852052;876150192;34.5093136443;32.9077481708;29.7066029608;4032;5152;3920;
archive-15;6076519940;1126131040256;1777624399872;32.5005981739;40.0345118525;40.6930876632;3248;10192;10192;
archive-16;1126131040256;5217349320;7249586080;40.0345118525;32.2806698841;32.7552514798;10192;3696;4032;
archive-17;6924976604;8661134216;8600042471424;32.689162051;33.011908819;42.9674809232;3024;4816;10192;
archive-18;8600042471424;2602728356;2841822490;42.9674809232;31.277377601;31.4041692957;10192;3248;3808;
archive-19;2740940144;135457088;809652289536;31.3520236773;27.0132606458;39.55851151;4480;3808;10192;
archive-1;4996193959936;704292108;1186294334976;42.1839666243;29.3915986757;40.1095991443;10192;4368;10192;
archive-20;246497698560;6935995158;8600042471424;37.8427832206;32.6914557454;42.9674809232;10192;5712;10192;
archive-21;5240280608;102924214272;2785251614;32.2869969217;36.5827914789;31.3751605176;3024;10192;3472;
archive-22;5948324786;160925884800;8151359547392;32.4698362765;37.2276054448;42.890177842;3360;10192;10192;
archive-23;3828141156;20232460454;791502768;31.8339968816;34.2359527245;29.5600191548;3360;3584;5264;
archive-24;5637388896;1375603410;453636078080;32.3923799494;30.3574174513;38.7227444274;10192;2800;10192;
archive-25;43006275592;137111107200;8600042471424;35.323828146;36.9965544905;42.9674809232;2688;10192;10192;
archive-26;710318492;2500234544;1537446736;29.4038908032;31.2194162927;30.5178892839;3472;3360;3584;
archive-27;273413922;669891313664;12100850628;28.0265114647;39.2851360886;33.494389414;3360;10192;4144;
archive-28;8600042471424;1922946546688;70215283496;42.9674809232;40.8064557984;36.0310660396;10192;10192;3584;
archive-29;8151359547392;1683912984;3712278834;42.890177842;30.6491704432;31.7896579312;10192;3248;3248;
archive-2;5361433313280;24439583558;9348885905408;42.2857558777;34.5085006512;43.0879315898;10192;6720;10192;
archive-30;1923018880000;1186540141056;4933005446;40.8065100656;40.1098980469;32.199819734;10192;10192;3360;
archive-31;1076444476;76354620844;7782425028;30.0036267599;36.1519964178;32.8575726275;3808;10192;5040;
archive-32;288095984;5001327492;15667861104;28.1019743089;32.2196639313;33.8670891928;3360;3696;10192;
archive-33;453582072320;848444522;145573594048;38.7225726631;29.6602450872;37.082957729;10192;3024;10192;
archive-34;130328920;509071064;531612467200;26.9575820127;28.9232918231;38.9515839824;2800;4032;10192;
archive-35;766171547648;7530977416;18713875358;39.478876495;32.8101899728;34.1233892985;10192;4256;4480;
archive-36;13140815252;1923018880000;2656086080;33.6133357317;40.8065100656;31.3066547571;5040;10192;3360;
archive-37;809652289536;239387005056;1662971386;39.55851151;37.8005538825;30.631116199;10192;10192;3808;
archive-38;9348885905408;222320839886;24167288646;43.0879315898;37.6938522337;34.4923365736;10192;10192;4368;
archive-39;14986453160;8151359547392;3575436300;33.8029399303;42.890177842;31.7354721545;4256;10192;5152;
archive-3;20774732348;7428080576;806200036;34.274110839;32.790342319;29.5865626067;3360;10192;2576;
archive-40;9284356316;2406121800;22603800880;33.1121547456;31.1640625288;34.3958463343;3136;3808;2800;
archive-41;1126131040256;1626574083072;1922946546688;40.0345118525;40.5649736707;40.8064557984;10192;10192;10192;
archive-4;315099806;627832656;37966332960;28.2312336252;29.2258048301;35.1440016095;3584;3472;10192;
archive-5;1767591456;12590329360;809652289536;30.7191377167;33.551596973;39.55851151;6384;3024;10192;
archive-6;410173688;8425737280;35515056060;28.6116597073;32.9721557864;35.0477117115;4368;3024;2800;
archive-7;2109030432;409489870;189417715200;30.9739327665;28.6092525219;37.4627803082;5152;5264;10192;
archive-8;3412493168;10643201492;41075161100;31.6681790117;33.30921313;35.2575471824;3808;2576;10192;
archive-9;7346546000;12521516682;5361433313280;32.7744189761;33.5436902697;42.2857558777;3584;4928;10192;
